Tree,Source,Row,Column,Block,Population,State,Country,Longitude,Latitude,Elevation
2027_1_A,2027,1,A,one,Pillsbury_State_Forest,New-Hampshire,USA,-72.08333,43.2,500
2027_2_A,2027,2,A,one,Pillsbury_State_Forest,New-Hampshire,USA,-72.08333,43.2,500
2027_3_A,2027,3,A,one,Pillsbury_State_Forest,New-Hampshire,USA,-72.08333,43.2,500
2027_4_A,2027,4,A,one,Pillsbury_State_Forest,New-Hampshire,USA,-72.08333,43.2,500
2027_5_A,2027,5,A,one,Pillsbury_State_Forest,New-Hampshire,USA,-72.08333,43.2,500
2505_6_A,2505,6,A,two,Eastern_Acadia_Forest_Experiment_Station,New-Brunswick,Canada,-66.2,46.03333,60
2505_7_A,2505,7,A,two,Eastern_Acadia_Forest_Experiment_Station,New-Brunswick,Canada,-66.2,46.03333,60
2505_8_A,2505,8,A,two,Eastern_Acadia_Forest_Experiment_Station,New-Brunswick,Canada,-66.2,46.03333,60
2505_9_A,2505,9,A,two,Eastern_Acadia_Forest_Experiment_Station,New-Brunswick,Canada,-66.2,46.03333,60
2505_10_A,2505,10,A,two,Eastern_Acadia_Forest_Experiment_Station,New-Brunswick,Canada,-66.2,46.03333,60
2022_11_A,2022,11,A,three,October_Mtn_State_Forest,Massachusetts,USA,-73.25,42.36667,550
2022_12_A,2022,12,A,three,October_Mtn_State_Forest,Massachusetts,USA,-73.25,42.36667,550
2022_13_A,2022,13,A,three,October_Mtn_State_Forest,Massachusetts,USA,-73.25,42.36667,550
2022_14_A,2022,14,A,three,October_Mtn_State_Forest,Massachusetts,USA,-73.25,42.36667,550
2022_15_A,2022,15,A,three,October_Mtn_State_Forest,Massachusetts,USA,-73.25,42.36667,550
2100_16_A,2100,16,A,four,Sheet_Harbour_Waters,Nova-Scotia,Canada,-62.73333,45.2,60
2100_17_A,2100,17,A,four,Sheet_Harbour_Waters,Nova-Scotia,Canada,-62.73333,45.2,60
2100_18_A,2100,18,A,four,Sheet_Harbour_Waters,Nova-Scotia,Canada,-62.73333,45.2,60
2100_19_A,2100,19,A,four,Sheet_Harbour_Waters,Nova-Scotia,Canada,-62.73333,45.2,60
2100_20_A,2100,20,A,four,Sheet_Harbour_Waters,Nova-Scotia,Canada,-62.73333,45.2,60
2021_21_A,2021,21,A,five,Bear_Meadows,Pennsylvania,USA,-77.75,40.7291,550
2021_22_A,2021,22,A,five,Bear_Meadows,Pennsylvania,USA,-77.75,40.7291,550
2021_23_A,2021,23,A,five,Bear_Meadows,Pennsylvania,USA,-77.75,40.7291,550
2021_24_A,2021,24,A,five,Bear_Meadows,Pennsylvania,USA,-77.75,40.7291,550
