sample	pop	treatment	day	climate
ASC_06_C_0_GAGTCC_R1.cl.fq	ASC_06	C	0	HD
ASC_06_C_10_ACGTCT_R1.cl.fq	ASC_06	C	10	HD
ASC_06_C_5_GTGTAG_R1.cl.fq	ASC_06	C	5	HD
ASC_06_D_H_0_CGCAAC_R1.cl.fq	ASC_06	D	0	HD
ASC_06_D_H_10_CAGCGT_R1.cl.fq	ASC_06	D	10	HD
ASC_06_H_0_AATAGC_R1.cl.fq	ASC_06	H	0	HD
ASC_06_H_10_TCGAGG_R1.cl.fq	ASC_06	H	10	HD
ASC_06_H_5_CCGCAA_R1.cl.fq	ASC_06	H	5	HD
BRU_05_C_0_ACCGTG_R1.cl.fq	BRU_05	C	0	HD
BRU_05_C_10_GCATGG_R1.cl.fq	BRU_05	C	10	HD
BRU_05_D_H_0_GCGAAT_R1.cl.fq	BRU_05	D	0	HD
BRU_05_D_H_10_GATTGT_R1.cl.fq	BRU_05	D	10	HD
BRU_05_D_H_5_GGTATA_R1.cl.fq	BRU_05	D	5	HD
BRU_05_H_0_TGGATT_R1.cl.fq	BRU_05	H	0	HD
BRU_05_H_10_TTCCGC_R1.cl.fq	BRU_05	H	10	HD
CAM_02_C_0_GGCTGC_R1.cl.fq	CAM_02	C	0	CW
CAM_02_C_10_AACGCC_R1.cl.fq	CAM_02	C	10	CW
CAM_02_C_5_TTAACT_R1.cl.fq	CAM_02	C	5	CW
CAM_02_D_H_0_ATAAGA_R1.cl.fq	CAM_02	D	0	CW
CAM_02_D_H_10_AAGACA_R1.cl.fq	CAM_02	D	10	CW
CAM_02_H_0_ATTGGT_R1.cl.fq	CAM_02	H	0	CW
CAM_02_H_10_CAAGCA_R1.cl.fq	CAM_02	H	10	CW
CAM_02_H_5_GGTGAG_R1.cl.fq	CAM_02	H	5	CW
ESC_01_C_0_CAGATG_R1.cl.fq	ESC_01	C	0	HD
ESC_01_C_10_ACAACG_R1.cl.fq	ESC_01	C	10	HD
ESC_01_D_H_0_CGGTTA_R1.cl.fq	ESC_01	D	0	HD
ESC_01_D_H_10_TACCTT_R1.cl.fq	ESC_01	D	10	HD
ESC_01_D_H_5_GACGAT_R1.cl.fq	ESC_01	D	5	HD
ESC_01_H_0_TCAGGA_R1.cl.fq	ESC_01	H	0	HD
